typ;marka;silniki;model;konie
osobowy;mazda;1;mx-5;123
osobowy;fiat;1;punto;213
osobowy;suzuki;1;vitara;412
osobowy;lexus;1;nx;231
osobowy;opel;1;astra;211
osobowy;seat;1;leon;152
osobowy;skoda;1;octavia;512
osobowy;ford;1;ecosport;432
osobowy;bmw;1;m3;312
osobowy;audi;1;a5;542
osobowy;mazda;1;mx-3;125
osobowy;honda;1;civic;541
osobowy;mazda;1;mx-5;421
osobowy;porshe;1;911;74
osobowy;ferrari;1;f40;99
osobowy;suzuki;1;swift;272
sportowy;fiat;1;126p;630
sportowy;fiat;1;126p;630
sportowy;fiat;1;126p;630
sportowy;fiat;1;126p;630
